FIPS,State,County,Child_Mortality_Rate,Infant_Mortality_Rate,pct_Diabetic,HIV_Prevalence_Rate,pct_Food_Insecure,pct_Limited_Access_to_healthy_foods,Drug_Overdose_Mortality_Rate,MV_Mortality_Rate,pct_Insufficient_Sleep,Household_Income,pct_Homeowners,pct_African_American,pct_American_Indian_Alaskan_Native,pct_Asian,pct_Native_Hawaiian_Other_Pacific_Islander,pct_Hispanic,pct_Non_Hispanic_White,level_0,pct_Fair_Poor,Physically_Unhealthy_Days,Mentally_Unhealthy_Days,pct_LBW,pct_Smokers,pct_Obese,Food_Environment_Index,pct_Physically_Inactive,pct_access_excercise,pct_Excessive_Drinking,pct_Alcohol_Impaired,Chlamydia_Rate,Teen_Birth_Rate,pct_Uninsured,PCP_Rate,Dentist_Rate,MHP_Rate,Preventable_Hosp._Rate,pct_Screened,pct_Vaccinated,Graduation_Rate,pct_Some_College,pct_Unemployed,pct_Children_in_Poverty,Income_Ratio,Violent_Crime_Rate,Injury_Death_Rate,Average_Daily_PM2.5,Presence_of_violation,pct_Severe_Housing_Problems,Case_Rate,Death_Rate
13001,Georgia,Appling,59.436969795,7.636473050348833,12.9,172.0,14.3,6.7730413641,18.51183033928003,23.225027289,36.04084231,40862,71.859146523,18.595108255,0.5777225852,0.7882943686,0.2051725069,10.258625344,69.051347119,1,20.860320602,4.3156232967,4.1676433723,9.8665118979,20.200401211,36.1,7.5,27.2,27.648607151,14.686055105,24.0,536.5,66.978193146,17.608928094,43.4122,16.19783,37.794940000000004,7080.0,37.0,30.0,82.683982684,38.746241036,5.5285606306,33.5,5.0981335761,379.19826652,80.101317342,10.6,No,10.205580029,402.5,179.5
13003,Georgia,Atkinson,69.19972578471497,7.636473050348833,12.8,240.8,12.8,12.267062994,18.51183033928003,36.068220463,38.392034023,34821,74.074074074,16.099256773,1.4984416207,0.9110525054,1.0668904339,24.814193239,56.808918725,2,26.766414961,4.8631776536,4.4399411888,7.6029567054,23.552668782,32.1,7.3,28.2,0.0,14.423521048,37.5,428.7,78.017664377,24.172884697,47.606706241979914,11.98753,105.2509406118548,7663.0,35.0,36.0,87.037037037,35.566037736,4.4951923077,36.5,4.2266229346,320.0813873052036,105.95771324,10.4,No,15.884476534,427.4,203.0
13005,Georgia,Bacon,69.19972578471497,7.636473050348833,12.4,468.6,13.2,5.4763518652,18.51183033928003,31.690497921,36.434163209,38417,70.719478566,16.043820125,0.3533881085,0.6007597844,0.1678593515,8.905380334,72.877462673,3,19.157642645,4.3312008624,4.0207623553,9.4567404427,19.999158482,33.0,7.8,28.9,61.09408796,15.757069254,23.529411765,522.2,47.545419405,18.625040094,43.967639999999996,26.50411,8.8347,7038.0,36.0,32.0,84.671532847,42.101740295,4.5374189747,42.7,5.3707686434,320.0813873052036,88.515941721,10.4,No,10.126582278,452.9,215.3
13007,Georgia,Baker,69.19972578471497,7.636473050348833,16.5,296.9,16.5,30.546437141,18.51183033928003,21.63544170372336,37.56049167,37286,69.341408024,44.59375,0.46875,1.09375,0.0625,5.6875,47.3125,4,18.512541251,3.903933324,3.7861305052,13.551401869,18.219631253,32.5,5.0,27.4,5.824398725,13.818967853,60.0,408.8,36.474164134,16.06505355,47.606706241979914,0.0,31.25,7961.0,55.0,22.0,90.0,49.513212796,6.3114754098,40.0,6.1416332201,320.0813873052036,68.212824011,10.8,No,11.627906977,461.8,110.5
13009,Georgia,Baldwin,97.23731625,9.9875156055,12.4,319.9,22.6,9.319845124,18.51183033928003,15.711363401,38.61825744,40358,55.137783221,42.199260678,0.3451654567,1.7191466619,0.077940587,2.2803188883,52.373847593,5,23.503293588,4.7027278202,4.2507282802,12.649627952,24.107592829,34.1,5.8,23.9,63.00743657,13.976129117,19.444444444,635.7,17.80926848,15.034753702,57.59348,40.08373,133.61243000000002,5451.0,40.0,40.0,88.813559322,52.376672658,5.9444288521,32.5,6.1572130415,689.41443407,72.101540071,11.4,Yes,20.025031289,479.0,188.5
13011,Georgia,Banks,88.888888889,7.636473050348833,12.3,135.1,10.3,1.4446703779,19.810539207,27.173280125,34.255782053,49481,74.217907228,2.5115380487,0.6493506494,1.2021036814,0.1234302887,6.6437694537,88.086293871,6,17.270138882,4.1198983089,3.9798975804,8.3513318934,19.476914701,31.6,8.7,27.8,36.711062789,16.037026524,11.111111111,227.1,31.679764244,17.230547739,16.307010000000002,5.36653,105.2509406118548,7273.0,37.0,46.0,90.434782609,44.464325654,3.9601817788,19.4,4.0455863402,194.75777002,78.060627087,10.4,Yes,14.569031274,445.0,156.1
13013,Georgia,Barrow,50.113672477,5.2229811169,12.7,148.9,10.5,5.1055513539,16.842505301,14.719240177,36.036047252,60028,72.921750447,11.634054717,0.5109978371,3.7958032405,0.0923337676,10.971275344,71.546021426,7,17.900313997,3.9647396049,3.8077804705,7.3379753615,18.116681998,35.2,8.4,30.5,66.554701803,16.817871614,27.777777778,372.8,28.777874673,17.143109619,20.74527,17.70785,16.442999999999998,5607.0,38.0,46.0,84.254807692,56.075706318,4.0806874904,15.7,3.5677934483,497.24463225,63.787375415,11.1,Yes,15.237691002,502.2,197.5
13015,Georgia,Bartow,53.618257504,6.5359477124,13.1,188.3,11.8,14.105431701,21.501373521,16.347654531,35.555309028,55067,65.44450431,10.785881547,0.5749424106,1.0670702686,0.0999485979,8.6222323757,77.525843852,8,17.569878602,3.9116058482,3.8248911928,7.8935747406,19.220993735,35.0,7.3,29.8,66.652355801,16.463765669,20.0,435.0,35.825878526,16.287211481,46.23966,34.26809,102.80427,5645.0,39.0,48.0,84.914463453,53.35004054,4.6118602174,19.3,4.2691365721,467.95743699,75.784515475,11.2,No,15.938986846,482.8,180.5
13017,Georgia,Ben Hill,90.237437257,11.890606421,12.5,206.3,22.7,13.377035904,18.51183033928003,13.95364108,39.315914399,32370,60.698003459,35.526006119,0.6177924217,0.8649093904,0.0764885855,6.1543892681,56.030830784,9,25.794269399,4.9378742057,4.4235043134,13.082980012,23.262924782,33.9,5.4,30.2,38.902120903,12.850721262,33.333333333,586.1,61.687413555,15.373705857,46.39564,35.30242,29.418689999999998,5322.0,36.0,39.0,79.279279279,49.796796557,7.8570132462,38.8,5.4366900105,361.24888902,63.49499544,10.7,No,19.875292284,469.0,208.6
13019,Georgia,Berrien,70.702126502,7.636473050348833,15.2,324.3,15.5,9.9191604048,18.51183033928003,11.252559957,34.876655175,38239,69.29558011,10.559783175,0.3596372355,1.1362451788,0.0573334723,4.9723756906,81.945168352,10,20.267964908,4.3910586153,4.3062363509,11.63049527,21.642741809,33.8,7.0,30.4,42.253448097,14.625131005,37.5,353.3,56.908417152,17.092426187,15.79529,10.42427,26.06067,6124.0,44.0,42.0,82.0,42.67407091,5.0815473784,29.6,5.0035345681,224.23890677,66.392665191,10.8,No,14.870689655,438.6,171.8
